ticker,weight,sector,score,rationale_summary
AMZN,0.034467,Consumer Discretionary,0.7000,"Sector rank 1, score 0.70"
CON,0.032005,Consumer Discretionary,0.6500,"Sector rank 2, score 0.65"
FL,0.031907,Consumer Discretionary,0.6480,"Sector rank 3, score 0.65"
LKQ,0.031907,Consumer Discretionary,0.6480,"Sector rank 3, score 0.65"
CVS,0.033238,Consumer Staples,0.6740,"Sector rank 1, score 0.67"
KR,0.032917,Consumer Staples,0.6675,"Sector rank 2, score 0.67"
CHD,0.032486,Consumer Staples,0.6587,"Sector rank 3, score 0.66"
CL,0.032486,Consumer Staples,0.6587,"Sector rank 3, score 0.66"
MO,0.031984,Consumer Staples,0.6486,"Sector rank 5, score 0.65"
ENB,0.029612,Energy,0.6425,"Sector rank 1, score 0.64"
EOG,0.025678,Energy,0.5571,"Sector rank 2, score 0.56"
MHFI,0.036810,Financials,0.7540,"Sector rank 1, score 0.75"
CCI,0.032312,Financials,0.6619,"Sector rank 2, score 0.66"
HNR1,0.030471,Financials,0.6242,"Sector rank 3, score 0.62"
KBC,0.030338,Financials,0.6214,"Sector rank 4, score 0.62"
CSL,0.033131,Health Care,0.6950,"Sector rank 1, score 0.69"
UTHR,0.031880,Health Care,0.6687,"Sector rank 2, score 0.67"
ABBV,0.031622,Health Care,0.6633,"Sector rank 3, score 0.66"
ROG,0.031177,Health Care,0.6540,"Sector rank 4, score 0.65"
COLOB,0.030807,Health Care,0.6462,"Sector rank 5, score 0.65"
ALXN,0.030646,Health Care,0.6429,"Sector rank 6, score 0.64"
CPI,0.036030,Industrials,0.6671,"Sector rank 1, score 0.67"
FAST,0.034204,Industrials,0.6333,"Sector rank 2, score 0.63"
DHL,0.032790,Industrials,0.6071,"Sector rank 3, score 0.61"
AAPL,0.037639,Information Technology,0.7286,"Sector rank 1, score 0.73"
SWKS,0.035905,Information Technology,0.6950,"Sector rank 2, score 0.69"
PAYX,0.035721,Information Technology,0.6914,"Sector rank 3, score 0.69"
XLNX,0.035543,Information Technology,0.6880,"Sector rank 4, score 0.69"
FFIV,0.035027,Information Technology,0.6780,"Sector rank 5, score 0.68"
DD,0.027339,Materials,0.6300,"Sector rank 1, score 0.63"
SCMN,0.009241,Telecommunication Services,0.5670,"Sector rank 1, score 0.57"
PPL,0.012683,Utilities,0.7800,"Sector rank 1, score 0.78"
