ticker,weight,score,claim_count,structural_weight
PPL,0.013703860473747515,0.7933333333333333,6,0.0
DIS,0.013078714377706213,0.7571428571428572,7,0.0
MHFI,0.012782592542739278,0.74,5,0.0
AMS,0.01266743405136325,0.7333333333333334,6,0.0
AAPL,0.012585177986094657,0.7285714285714286,7,0.0
ORLY,0.012313732970708301,0.7128571428571429,7,0.0
SAP,0.012163615651593119,0.7041666666666666,6,0.0
AVGO,0.012091641594483102,0.7000000000000001,6,0.0
AMZN,0.0120916415944831,0.7,5,0.0
CCEP,0.0120916415944831,0.7,5,0.0
CSL,0.012005272725951078,0.695,10,0.0
SWKS,0.012005272725951078,0.695,6,0.0
PAYX,0.011943580676999634,0.6914285714285714,7,0.0
XLNX,0.011884356310006247,0.688,5,0.0
CPI,0.011869550218257901,0.6871428571428572,7,0.0
FFIV,0.011711618572942206,0.6780000000000002,10,0.0
BAYN,0.011659797251822989,0.6749999999999999,6,0.0
STJ,0.011631007628978982,0.6733333333333333,6,0.0
ASML,0.011595020600423974,0.67125,8,0.0
UTHR,0.011551836166157962,0.66875,8,0.0
KR,0.011530243949024957,0.6675,8,0.0
BA,0.011515849137602953,0.6666666666666666,6,0.0
SHP,0.011515849137602953,0.6666666666666666,6,0.0
ABBV,0.011458269891914941,0.6633333333333334,9,0.0
CCI,0.011433078971926434,0.6618750000000001,8,0.0
CVS,0.011400690646226922,0.6599999999999999,5,0.0
CHD,0.011379098429093917,0.65875,8,0.0
CL,0.011379098429093917,0.65875,8,0.0
IFC,0.01135133700706577,0.6571428571428573,7,0.0
META,0.01134886932510771,0.657,10,0.0
COL,0.011343111400538909,0.6566666666666666,6,0.0
ROG,0.011297048003988496,0.6539999999999999,15,0.0
ITV,0.01127113734342889,0.6525,6,0.0
CON,0.011227952909162882,0.6500000000000001,8,0.0
MO,0.011203276089582302,0.6485714285714286,7,0.0
FL,0.01119340536175007,0.6479999999999999,5,0.0
LKQ,0.01119340536175007,0.6479999999999999,5,0.0
MC,0.01118476847489687,0.6475000000000001,6,0.0
COLOB,0.011163176257763863,0.64625,8,0.0
INTU,0.011141584040630858,0.645,8,0.0
STZ,0.011141584040630858,0.645,6,0.0
IT,0.011116907221050281,0.6435714285714287,14,0.0
ALXN,0.011104568811259992,0.6428571428571429,7,0.0
ENB,0.011098399606364844,0.6424999999999998,8,0.0
SVT,0.011055215172098835,0.64,9,0.0
CELG,0.010951572529860409,0.634,5,0.0
MAR,0.010947254086433808,0.63375,8,0.0
FAST,0.010940056680722805,0.6333333333333333,6,0.0
HRB,0.010940056680722805,0.6333333333333333,6,0.0
MTD,0.010940056680722805,0.6333333333333333,6,0.0
DD,0.010882477435034791,0.63,5,0.0
NESN,0.010836414038484376,0.6273333333333332,15,0.0
005930,0.010832095595057779,0.6270833333333334,12,0.0
QIA,0.010830656113915578,0.627,10,0.0
REE,0.010830656113915578,0.627,10,0.0
SBUX,0.010824898189346776,0.6266666666666666,9,0.0
HNR1,0.010781713755080765,0.6241666666666666,6,0.0
KBC,0.010734416517551323,0.6214285714285713,7,0.0
AGU,0.010690546616074742,0.6188888888888889,9,0.0
WFC,0.010666555263704735,0.6174999999999999,8,0.0
SLB,0.010635709239229012,0.6157142857142857,7,0.0
ANSS,0.010611032419648435,0.6142857142857142,7,0.0
V,0.010611032419648435,0.6142857142857142,7,0.0
VRSN,0.01060609705573232,0.614,5,0.0
ML,0.010556195042802708,0.6111111111111112,9,0.0
ISRG,0.010537001960906702,0.61,13,0.0
CBS,0.010517808879010694,0.6088888888888887,9,0.0
CI,0.010515409743773697,0.60875,8,0.0
NOVN,0.010515409743773697,0.60875,8,0.0
DHL,0.010487648321745546,0.6071428571428571,7,0.0
WAT,0.010479422715218688,0.6066666666666667,12,0.0
OR,0.010462971502164969,0.6057142857142858,7,0.0
MCK,0.010433359318668277,0.6040000000000001,10,0.0
AMT,0.010427077946411402,0.6036363636363636,11,0.0
RTN,0.010421843469530671,0.6033333333333333,6,0.0
RHT,0.010381537997549064,0.6010000000000001,10,0.0
PUB,0.01037506033240916,0.600625,8,0.0
BWA,0.010364264223842658,0.6,6,0.0
GILD,0.010364264223842658,0.6,6,0.0
ITUB4,0.010364264223842656,0.5999999999999999,7,0.0
FRE,0.010310283681010148,0.5968750000000002,16,0.0
NKE,0.010306684978154642,0.5966666666666666,12,0.0
MON,0.010249105732466627,0.5933333333333333,9,0.0
SGE,0.010249105732466627,0.5933333333333333,9,0.0
IFF,0.010234710921044625,0.5925,8,0.0
SNA,0.010234710921044625,0.5925,8,0.0
HOG,0.01017233340488261,0.588888888888889,9,0.0
BFB,0.010156978939365804,0.588,5,0.0
BF_B,0.010156978939365804,0.588,5,0.0
BXB,0.010156978939365804,0.588,10,0.0
